
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
     L_sigma[0]      0.03      0.00      0.03      0.03      0.03     85.61      1.01
     L_sigma[1]      0.02      0.00      0.02      0.01      0.02    222.38      1.01
     L_sigma[2]      0.02      0.00      0.02      0.02      0.02    199.84      1.00
 beta_off[4,12]     -0.92      0.29     -0.87     -1.42     -0.51     62.73      1.01
 beta_off[4,13]     -0.81      0.28     -0.78     -1.20     -0.34     39.70      1.08
 beta_off[4,14]     -0.54      0.20     -0.49     -0.86     -0.26     36.41      1.13
 beta_off[4,15]      0.84      0.29      0.80      0.42      1.31     41.00      1.00
 beta_off[4,16]      0.60      0.22      0.57      0.21      0.89     46.21      1.01
  beta_off[5,0]      0.15      0.61      0.11     -0.91      1.09     58.37      1.00
  beta_off[5,1]      0.36      0.39      0.34     -0.22      1.00     43.71      1.00
  beta_off[5,2]      0.23      0.30      0.20     -0.25      0.74     28.37      1.01
  beta_off[5,3]      1.13      0.56      1.07      0.22      1.97     77.81      1.01
  beta_off[5,4]      0.14      0.64      0.13     -0.90      1.19     14.12      1.01
  beta_off[5,5]     -0.08      0.44     -0.08     -0.67      0.70     26.00      1.00
  beta_off[5,6]     -0.70      0.95     -0.75     -2.16      0.84    113.66      1.00
  beta_off[5,7]      1.12      0.50      1.07      0.37      2.00     91.48      1.03
  beta_off[5,8]      0.36      0.37      0.32     -0.24      0.95     26.85      1.02
  beta_off[5,9]      0.82      0.40      0.80      0.28      1.62     26.95      1.03
 beta_off[5,10]     -1.04      0.38     -1.01     -1.67     -0.46     71.05      1.01
 beta_off[5,11]      1.58      0.55      1.53      0.70      2.40     58.75      1.00
 beta_off[5,12]     -0.96      0.35     -0.90     -1.54     -0.41     39.62      1.00
 beta_off[5,13]      1.63      0.43      1.58      1.00      2.39    130.81      1.01
 beta_off[5,14]      0.63      0.38      0.60     -0.02      1.22     15.91      1.00
 beta_off[5,15]     -0.58      0.38     -0.54     -1.18      0.03     26.70      1.00
 beta_off[5,16]     -1.09      0.34     -1.07     -1.59     -0.48    118.85      1.00
  beta_off[6,0]      0.34      0.83      0.36     -1.04      1.58     27.37      1.01
  beta_off[6,1]     -0.14      0.19     -0.14     -0.45      0.20     46.10      1.01
  beta_off[6,2]      0.93      0.33      0.86      0.45      1.47     39.91      1.05
  beta_off[6,3]      0.15      0.35      0.13     -0.32      0.73     54.47      1.00
  beta_off[6,4]      0.06      0.31      0.04     -0.45      0.58     58.20      1.00
  beta_off[6,5]      0.48      0.26      0.44      0.05      0.88     85.80      1.01
  beta_off[6,6]     -0.20      0.81     -0.21     -1.53      1.14    149.72      1.00
  beta_off[6,7]     -1.03      0.46     -0.95     -1.75     -0.31     86.23      1.01
  beta_off[6,8]      1.35      0.46      1.29      0.65      2.06     40.28      1.11
  beta_off[6,9]      2.13      0.57      2.11      1.11      2.91     71.82      1.02
 beta_off[6,10]     -1.21      0.38     -1.17     -1.78     -0.63     72.23      1.01
 beta_off[6,11]     -0.18      0.13     -0.17     -0.38      0.03     80.27      1.05
 beta_off[6,12]     -0.05      0.10     -0.05     -0.23      0.11     41.25      1.00
 beta_off[6,13]      1.18      0.36      1.16      0.55      1.71     76.73      1.02
 beta_off[6,14]      1.38      0.39      1.34      0.74      2.01     61.41      1.00
 beta_off[6,15]      0.37      0.23      0.34      0.01      0.72     31.69      1.02
 beta_off[6,16]     -0.53      0.20     -0.50     -0.85     -0.23     78.30      1.04
  beta_off[7,0]      1.58      0.55      1.53      0.66      2.40     41.31      1.05
  beta_off[7,1]      1.19      0.41      1.12      0.55      1.80     50.36      1.04
  beta_off[7,2]      1.14      0.36      1.10      0.48      1.67     37.43      1.05
  beta_off[7,3]      0.71      0.43      0.68     -0.00      1.36     51.09      1.00
  beta_off[7,4]      0.07      0.35      0.09     -0.51      0.60     38.56      1.00
  beta_off[7,5]      0.23      0.25      0.20     -0.16      0.65     22.87      1.05
  beta_off[7,6]     -0.53      0.83     -0.56     -1.89      0.80     72.31      1.00
  beta_off[7,7]     -0.63      0.32     -0.60     -1.14     -0.13     39.63      1.00
  beta_off[7,8]      0.02      0.32     -0.01     -0.49      0.55      8.12      1.23
  beta_off[7,9]      0.33      0.16      0.30      0.11      0.55     28.46      1.00
 beta_off[7,10]      0.49      0.19      0.46      0.20      0.77     37.09      1.01
 beta_off[7,11]     -1.72      0.49     -1.68     -2.51     -0.98     58.96      1.03
 beta_off[7,12]     -1.40      0.49     -1.31     -2.16     -0.64     33.96      1.00
 beta_off[7,13]     -0.82      0.28     -0.78     -1.29     -0.36     39.60      1.04
 beta_off[7,14]     -0.98      0.33     -0.94     -1.47     -0.44     40.07      1.01
 beta_off[7,15]      0.41      0.21      0.39      0.08      0.73     33.28      1.01
 beta_off[7,16]      0.70      0.27      0.66      0.28      1.11     28.88      1.08
  beta_off[8,0]     -0.25      0.62     -0.22     -1.24      0.74    102.21      1.00
  beta_off[8,1]     -0.65      0.53     -0.63     -1.52      0.22     68.99      1.00
  beta_off[8,2]      0.37      0.51      0.36     -0.47      1.18     38.83      1.04
  beta_off[8,3]     -0.52      0.60     -0.49     -1.45      0.41     94.73      1.00
  beta_off[8,4]      0.76      0.58      0.74     -0.09      1.79    146.93      1.00
  beta_off[8,5]     -0.97      0.74     -0.99     -2.12      0.40     39.16      1.00
  beta_off[8,6]      0.01      0.97      0.00     -1.59      1.67    131.77      1.00
  beta_off[8,7]     -0.53      0.55     -0.47     -1.45      0.33     30.60      1.02
  beta_off[8,8]      1.39      0.60      1.35      0.38      2.34     68.88      1.00
  beta_off[8,9]     -1.39      0.49     -1.34     -2.08     -0.54     83.37      1.07
 beta_off[8,10]      0.13      0.31      0.12     -0.40      0.61     57.63      1.00
 beta_off[8,11]     -0.08      0.48     -0.05     -0.88      0.68     15.44      1.02
 beta_off[8,12]      0.40      0.38      0.32     -0.08      0.93     16.87      1.00
 beta_off[8,13]      1.23      0.52      1.20      0.47      2.13     48.68      1.00
 beta_off[8,14]      1.40      0.48      1.38      0.57      2.15     49.84      1.08
 beta_off[8,15]     -0.44      0.67     -0.42     -1.53      0.63     42.55      1.01
 beta_off[8,16]     -0.90      0.46     -0.88     -1.68     -0.19     25.19      1.01
  beta_off[9,0]      0.25      0.76      0.19     -0.94      1.58     10.30      1.13
